image_name;latitude;longitude;date;osm_id;vector_unit_x;vector_unit_y;dist_a_fachada;fov;heading;url
der-0-zarzuela;-13.531015627192755;-71.98255103273164;2013-11;zarzuela;-0.5082913776748139;0.8611851574321516;5.0;90.0;60.68440057822918;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.5310463,-71.9826056&fov=90.0&pitch=0&key=&heading=60.68440057822918
der-1-zarzuela;-13.530992190722012;-71.98256477950979;2013-11;zarzuela;-0.5082913776748139;0.8611851574321516;5.0;90.0;60.68440030622063;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.53102286058617,-71.98261934153611&fov=90.0&pitch=0&key=&heading=60.68440030622063
der-5-zarzuela;-13.530906256986924;-71.98261518434695;2013-11;zarzuela;-0.5082913776748139;0.8611851574321516;5.0;90.0;60.684399178569095;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.53093691606878,-71.98266972716851&fov=90.0&pitch=0&key=&heading=60.684399178569095
der-11-zarzuela;-13.530804698918038;-71.98267475366737;2013-11;zarzuela;-0.5082913776748139;0.8611851574321516;5.0;90.0;60.68439746829385;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.53083534527549,-71.98272927382499&fov=90.0&pitch=0&key=&heading=60.68439746829385
der-17-zarzuela;-13.530709644787986;-71.98273050803206;2013-11;zarzuela;-0.5082913776748139;0.8611851574321516;5.0;90.0;60.68439575510255;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.53074027929146,-71.98278500707606&fov=90.0&pitch=0&key=&heading=60.68439575510255
der-25-zarzuela;-13.530611615004934;-71.98278589752425;2013-11;zarzuela;-0.4586817157149177;0.8886006322689735;5.0;90.0;63.89301500429485;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.53064001682688,-71.98284378662592&fov=90.0&pitch=0&key=&heading=63.89301500429485
der-27-zarzuela;-13.530578214392774;-71.98280299469248;2013-11;zarzuela;-0.4586817157149177;0.8886006322689735;5.0;90.0;63.89301410913761;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.53060577059979,-71.9828591582089&fov=90.0&pitch=0&key=&heading=63.89301410913761
der-29-zarzuela;-13.53054494247564;-71.9828200259799;2013-11;zarzuela;-0.4586817157149177;0.8886006322689735;5.0;90.0;63.89301321413851;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.53057158682139,-71.98287432872729&fov=90.0&pitch=0&key=&heading=63.89301321413851
der-31-zarzuela;-13.530520533712561;-71.98282771680832;2013-11;zarzuela;-0.2650042723323653;0.9642472378210858;5.0;90.0;75.63415306908901;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.5305365,-71.9828899&fov=90.0&pitch=0&key=&heading=75.63415306908901
der-33-zarzuela;-13.530471491006983;-71.98284083736529;2013-11;zarzuela;-0.2650042723323653;0.9642472378210858;5.0;90.0;75.63415144010814;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.53048754582315,-71.98290336619927&fov=90.0&pitch=0&key=&heading=75.63415144010814
der-37-zarzuela;-13.530378095576742;-71.98286582374409;2013-11;zarzuela;-0.2650042723323653;0.9642472378210858;5.0;90.0;75.63414817123825;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.53039431898279,-71.98292901080228&fov=90.0&pitch=0&key=&heading=75.63414817123825
der-43-zarzuela;-13.530291565711025;-71.98288897334584;2013-11;zarzuela;-0.2650042723323653;0.9642472378210858;5.0;90.0;75.63414326696491;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.53030794531196,-71.9829527702342&fov=90.0&pitch=0&key=&heading=75.63414326696491
der-51-zarzuela;-13.530164198837497;-71.98292338209873;2013-11;zarzuela;-0.2815943915922554;0.9595335317870801;5.0;90.0;74.66443065218914;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.53017204818035,-71.98295186107468&fov=90.0&pitch=0&key=&heading=74.66443065218914
der-52-zarzuela;-13.530140698898542;-71.98293011377287;2013-11;zarzuela;-0.2815943915922554;0.9595335317870801;5.0;90.0;74.66442986237934;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.53015811948532,-71.9829934941915&fov=90.0&pitch=0&key=&heading=74.66442986237934
der-55-zarzuela;-13.530064859945577;-71.98295183821152;2013-11;zarzuela;-0.2815943915922554;0.9595335317870801;5.0;90.0;74.66442746058236;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.53008163566591,-71.98301286711666&fov=90.0&pitch=0&key=&heading=74.66442746058236
der-60-zarzuela;-13.529951367255531;-71.98298434873065;2013-11;zarzuela;-0.2815943915922554;0.9595335317870801;5.0;90.0;74.66442347153313;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.52996717793332,-71.98304185859841&fov=90.0&pitch=0&key=&heading=74.66442347153313
der-66-zarzuela;-13.529859285185893;-71.9830107260616;2013-11;zarzuela;-0.2815943915922554;0.9595335317870801;5.0;90.0;74.6644186649763;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.5298743128761,-71.98306538075926&fov=90.0&pitch=0&key=&heading=74.6644186649763
der-72-zarzuela;-13.52975529440519;-71.98304051468175;2013-11;zarzuela;-0.2815943915922554;0.9595335317870801;5.0;90.0;74.66441388226119;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.52976943784389,-71.98309194495185&fov=90.0&pitch=0&key=&heading=74.66441388226119
der-78-zarzuela;-13.529658777265414;-71.98306816242948;2013-11;zarzuela;-0.2815943915922554;0.9595335317870801;5.0;90.0;74.66440908291293;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.5296721,-71.9831166&fov=90.0&pitch=0&key=&heading=74.66440908291293
der-82-zarzuela;-13.529602275711554;-71.98307733667863;2013-11;zarzuela;-0.17351738399999736;0.98483080650932;5.0;90.0;80.90289847788159;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.52961128186145,-71.98313331690673&fov=90.0&pitch=0&key=&heading=80.90289847788159
der-87-zarzuela;-13.52949300615515;-71.98309561262579;2013-11;zarzuela;-0.17351738399999736;0.98483080650932;5.0;90.0;80.90289409920379;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.5295038157688,-71.98316285587448&fov=90.0&pitch=0&key=&heading=80.90289409920379
der-93-zarzuela;-13.529401926204475;-71.98311084625469;2013-11;zarzuela;-0.17351738399999736;0.98483080650932;5.0;90.0;80.90288882382862;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.52941423906177,-71.98318747757695&fov=90.0&pitch=0&key=&heading=80.90288882382862
der-99-zarzuela;-13.529325598700675;-71.98312482383137;2013-11;zarzuela;-0.24883973498284176;0.968544674392291;5.0;90.0;76.57418590861595;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.52934512959901,-71.9832064734913&fov=90.0&pitch=0&key=&heading=76.57418590861595
der-102-zarzuela;-13.529236673944025;-71.983146996652;2013-11;zarzuela;-0.24883973498284176;0.968544674392291;5.0;90.0;76.57418340104388;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.52925671327524,-71.98323077620898&fov=90.0&pitch=0&key=&heading=76.57418340104388
der-107-zarzuela;-13.529156368106865;-71.98316702039195;2013-11;zarzuela;-0.24883973498284176;0.968544674392291;5.0;90.0;76.57417924121405;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.52917686658604,-71.98325272338334&fov=90.0&pitch=0&key=&heading=76.57417924121405
der-110-zarzuela;-13.529104267422525;-71.98318172358036;2013-11;zarzuela;-0.28648929573004644;0.9580834428337136;5.0;90.0;74.37726391512315;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.52912809501224,-71.98326679362711&fov=90.0&pitch=0&key=&heading=74.37726391512315
der-116-zarzuela;-13.528976659780872;-71.98321899638138;2013-11;zarzuela;-0.28648929573004644;0.9580834428337136;5.0;90.0;74.37725915349178;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.52900278655226,-71.98331228854714&fov=90.0&pitch=0&key=&heading=74.37725915349178
der-122-zarzuela;-13.528862886641985;-71.98327035451567;2013-11;zarzuela;-0.4374003458739472;0.8992668888763509;5.0;90.0;65.23838348781533;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.52890264612135,-71.98335647923548&fov=90.0&pitch=0&key=&heading=65.23838348781533
der-130-zarzuela;-13.528767716395956;-71.98332039640023;2013-11;zarzuela;-0.5867203003119443;0.8097896573813855;5.0;90.0;55.35978159575396;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.5288206,-71.9833969&fov=90.0&pitch=0&key=&heading=55.35978159575396
der-133-zarzuela;-13.528690743519729;-71.9833759449441;2013-11;zarzuela;-0.5867203003119443;0.8097896573813855;5.0;90.0;55.35978175166893;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.52873855824148,-71.98344511179988&fov=90.0&pitch=0&key=&heading=55.35978175166893
der-140-zarzuela;-13.528617204447547;-71.98343484732634;2013-11;zarzuela;-0.7880426459520212;0.6156206528057171;5.0;90.0;39.30593633357052;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.52867673082013,-71.98348356828897&fov=90.0&pitch=0&key=&heading=39.30593633357052
der-141-zarzuela;-13.52858976174639;-71.98346986173432;2013-11;zarzuela;-0.7880426459520212;0.6156206528057171;5.0;90.0;39.30593778281875;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.52864215605837,-71.98351274394162&fov=90.0&pitch=0&key=&heading=39.30593778281875
der-145-zarzuela;-13.528528237076282;-71.98354836161043;2013-11;zarzuela;-0.7880426459520212;0.6156206528057171;5.0;90.0;39.30594366358219;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.5285807,-71.9835913&fov=90.0&pitch=0&key=&heading=39.30594366358219
der-153-zarzuela;-13.528457658800916;-71.98364137814559;2013-11;zarzuela;-0.8435790416320823;0.5370050283927493;5.0;90.0;33.752638005716975;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.52851894531155,-71.9836823284991&fov=90.0&pitch=0&key=&heading=33.752638005716975
der-156-zarzuela;-13.528408250893358;-71.98371860801171;2013-11;zarzuela;-0.8435790416320823;0.5370050283927493;5.0;90.0;33.75264412010161;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.52846748307118,-71.98375818558168&fov=90.0&pitch=0&key=&heading=33.75264412010161
der-160-zarzuela;-13.528358267824196;-71.9837832690398;2013-11;zarzuela;-0.7659142723689017;0.6429427092530219;5.0;90.0;41.328160451501006;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.52841602083081,-71.98383404266426&fov=90.0&pitch=0&key=&heading=41.328160451501006
der-166-zarzuela;-13.528314319896323;-71.98380561633029;2013-11;zarzuela;0.13514026270478996;0.9908264779445897;5.0;90.0;98.28527972224624;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.528303,-71.9838837&fov=90.0&pitch=0&key=&heading=98.28527972224624
der-170-zarzuela;-13.528243377507915;-71.98379063913998;2013-11;zarzuela;0.21259886734252148;0.9771395609659231;5.0;90.0;102.70269482170266;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.5282273,-71.9838622&fov=90.0&pitch=0&key=&heading=102.70269482170266
der-174-zarzuela;-13.52816947586548;-71.98377323914349;2013-11;zarzuela;0.21259886734252148;0.9771395609659231;5.0;90.0;102.70269118472794;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.5281543,-71.9838408&fov=90.0&pitch=0&key=&heading=102.70269118472794
der-178-zarzuela;-13.528116156084948;-71.98376068511607;2013-11;zarzuela;0.21259886734252148;0.9771395609659231;5.0;90.0;102.70268756025054;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.5281048,-71.9838113&fov=90.0&pitch=0&key=&heading=102.70268756025054
der-182-zarzuela;-13.528124695060049;-71.98371946836063;2013-11;zarzuela;0.9987875095461369;0.04922916589406437;5.0;90.0;177.82991211502048;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.52808956881295,-71.98372082841355&fov=90.0&pitch=0&key=&heading=177.82991211502048
der-187-zarzuela;-13.528121542937795;-71.98363258027481;2013-11;zarzuela;0.9987875095461369;0.04922916589406437;5.0;90.0;177.82988987820386;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.52807637790049,-71.98363432074888&fov=90.0&pitch=0&key=&heading=177.82988987820386
der-192-zarzuela;-13.528117694464013;-71.98352649843851;2013-11;zarzuela;0.9987875095461369;0.04922916589406437;5.0;90.0;177.82986762328645;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.52806413209029,-71.98352855714381&fov=90.0&pitch=0&key=&heading=177.82986762328645
der-197-zarzuela;-13.528115685651441;-71.98347112671657;2013-11;zarzuela;0.9987875095461369;0.04922916589406437;5.0;90.0;177.82984536862864;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.5280591,-71.9834733&fov=90.0&pitch=0&key=&heading=177.82984536862864
der-200-zarzuela;-13.528112400413546;-71.98337870824976;2013-11;zarzuela;0.9988280927167044;0.048398772710790246;5.0;90.0;177.87851200886988;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.52805597423818,-71.98338082746237&fov=90.0&pitch=0&key=&heading=177.87851200886988
der-206-zarzuela;-13.52810912216141;-71.98328627142702;2013-11;zarzuela;0.9988280927167044;0.048398772710790246;5.0;90.0;177.8784853100933;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.52805284949212,-71.98328838497491&fov=90.0&pitch=0&key=&heading=177.8784853100933
der-211-zarzuela;-13.528104860381877;-71.98316610355957;2013-11;zarzuela;0.9988280927167044;0.048398772710790246;5.0;90.0;177.87846307001536;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.52804878732224,-71.98316820974122&fov=90.0&pitch=0&key=&heading=177.87846307001536
der-217-zarzuela;-13.528101581580744;-71.98307365349898;2013-11;zarzuela;0.9988280927167044;0.048398772710790246;5.0;90.0;177.87843635322858;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.52804566962224,-71.98307575373427&fov=90.0&pitch=0&key=&heading=177.87843635322858
der-223-zarzuela;-13.52809764753894;-71.98296272936456;2013-11;zarzuela;0.9988280927167044;0.048398772710790246;5.0;90.0;177.8784096901722;https://maps.googleapis.com/maps/api/streetview?size=640x640&location=-13.52804194988889,-71.98296482168655&fov=90.0&pitch=0&key=&heading=177.8784096901722
